Picture Path,Label,width,height,Luminance,RGB,LBP,HSV
./Multi-class Weather Dataset/Cloudy/cloudy1.jpg,Nuageux,600,400,0.17859369778349238,"[126.34504885660581, 126.34504885660581, 126.34504885660581]","[451, 2006, 1591, 15454, 34446, 33885, 9137, 6217, 12202, 3249]","[0.0, 0.0]"
./Multi-class Weather Dataset/Cloudy/cloudy10.jpg,Nuageux,271,186,0.1188101156413041,"[152.9002701495305, 169.04855283246093, 198.5488576594346]","[189, 1748, 894, 11282, 31090, 39998, 7514, 6520, 16730, 2673]","[109.50477081542171, 60.599630809689984]"
./Multi-class Weather Dataset/Cloudy/cloudy100.jpg,Nuageux,259,194,0.13432289046067467,"[150.96056491174835, 153.7316055129364, 155.91076448813828]","[816, 3787, 2685, 13576, 36313, 31807, 7939, 5890, 11045, 4780]","[92.744845664964, 54.62629174463494]"
./Multi-class Weather Dataset/Cloudy/cloudy101.jpg,Nuageux,338,149,0.12644177091249664,"[171.27977071005918, 177.1194305365903, 200.4723730223453]","[285, 1755, 1077, 13818, 29452, 38865, 8806, 7200, 14825, 2555]","[123.27952258129773, 40.92878335777744]"
./Multi-class Weather Dataset/Cloudy/cloudy102.jpg,Nuageux,800,377,0.1903069763556249,"[133.36938839157773, 145.10622021532942, 168.69428007889547]","[1314, 3819, 2962, 15665, 32156, 29125, 10206, 6877, 9940, 6574]","[109.98722163219205, 57.693647903707074]"
./Multi-class Weather Dataset/Cloudy/cloudy103.jpg,Nuageux,275,183,0.213896475000738,"[112.92069526890626, 127.99749112057266, 149.39640281781553]","[318, 1803, 1337, 11029, 43136, 40776, 6557, 3958, 7480, 2244]","[108.29289940828403, 71.40023432626982]"
./Multi-class Weather Dataset/Cloudy/cloudy104.jpg,Nuageux,275,183,0.15577029112475027,"[104.73994034768582, 125.37264488401692, 158.66744137760458]","[236, 1516, 1197, 13309, 41692, 37431, 8504, 4922, 7797, 2034]","[108.89739375242334, 88.4767949560849]"
./Multi-class Weather Dataset/Cloudy/cloudy105.jpg,Nuageux,288,175,0.17598309775033089,"[126.20203805378547, 133.47730741309698, 147.29657570455925]","[139, 1308, 680, 11943, 35654, 41211, 7866, 6093, 11792, 1952]","[107.54673038992566, 41.33236399804447]"
./Multi-class Weather Dataset/Cloudy/cloudy106.jpg,Nuageux,300,168,0.14714724337797286,"[123.40405635209629, 131.3246680882706, 151.3048635871306]","[634, 2470, 2483, 15210, 40867, 32260, 7831, 5150, 8547, 3186]","[111.26172052799272, 48.29375073753772]"
./Multi-class Weather Dataset/Cloudy/cloudy107.jpg,Nuageux,275,183,0.2769798716019746,"[101.28853957258636, 128.5438370031103, 166.26944827700652]","[481, 2192, 1992, 14037, 39008, 30889, 6742, 5128, 15275, 2894]","[106.52409008917884, 122.9392184628871]"
./Multi-class Weather Dataset/Cloudy/cloudy108.jpg,Nuageux,900,675,0.1956078866842946,"[162.0977991150074, 169.88316335722956, 200.41666666666666]","[4132, 6553, 5788, 14996, 24177, 20549, 9853, 8061, 12166, 12363]","[108.00763667627572, 53.56182673342437]"
./Multi-class Weather Dataset/Cloudy/cloudy109.jpg,Nuageux,851,377,0.2015518138315342,"[122.91370808678501, 163.3178561701352, 203.52765884982045]","[6308, 9558, 6174, 12524, 15976, 14326, 10296, 10842, 13943, 18691]","[104.8925976499941, 106.65285996055226]"
./Multi-class Weather Dataset/Cloudy/cloudy11.jpg,Nuageux,1024,675,0.15890955278796695,"[150.30159708525093, 151.4561221030572, 160.60868487541936]","[5454, 6905, 7380, 15691, 25866, 18863, 9564, 7931, 8466, 12518]","[118.3020617340144, 19.53791365329827]"
./Multi-class Weather Dataset/Cloudy/cloudy110.jpg,Nuageux,284,177,0.205021378860201,"[121.28846677366232, 150.17471195200946, 181.13159918459937]","[435, 1865, 1672, 11821, 27551, 28554, 6720, 5081, 32369, 2570]","[104.96272695089263, 94.41739577538394]"
./Multi-class Weather Dataset/Cloudy/cloudy111.jpg,Nuageux,259,194,0.2515556650066882,"[90.75146368311586, 134.88627395548855, 192.1170077251808]","[467, 1994, 1578, 11888, 29437, 32199, 6502, 5196, 26425, 2952]","[104.45874846170705, 144.2134560596099]"
./Multi-class Weather Dataset/Cloudy/cloudy112.jpg,Nuageux,590,400,0.1242901202843723,"[155.71549225638074, 180.49675809368625, 207.83880046338442]","[2567, 5632, 3484, 14472, 20726, 22800, 9551, 9462, 19328, 10616]","[105.26370977258551, 70.87967598914345]"
./Multi-class Weather Dataset/Cloudy/cloudy113.jpg,Nuageux,259,194,0.21884035201599214,"[98.15602251570955, 139.41600597774323, 190.55965218247948]","[646, 2524, 2209, 13451, 30989, 29105, 6136, 5952, 24284, 3342]","[105.78970481633203, 130.94722601527334]"
./Multi-class Weather Dataset/Cloudy/cloudy114.jpg,Nuageux,319,158,0.2354806560122464,"[107.75459848183128, 138.0183461190765, 178.4602000281318]","[633, 2599, 1929, 12998, 25983, 27400, 5976, 6040, 31695, 3385]","[91.65370286080345, 117.7686154520474]"
./Multi-class Weather Dataset/Cloudy/cloudy115.jpg,Nuageux,326,155,0.20204399774242188,"[99.15902663196024, 103.1223690646652, 118.85840635615276]","[357, 1708, 1387, 14856, 26688, 36596, 8502, 8294, 17840, 2410]","[116.56223132554493, 52.810398017498606]"
./Multi-class Weather Dataset/Cloudy/cloudy116.jpg,Nuageux,1600,1200,0.1597521648508663,"[90.7750572513655, 118.58449515279675, 154.91555601388256]","[1384, 4802, 1708, 10424, 20983, 34990, 8175, 8008, 19340, 8824]","[107.32123771472884, 114.32245149109055]"
