Picture Path,Label,width,height
./Multi-class Weather Dataset/Cloudy/cloudy1.jpg,Nuageux,600,400
./Multi-class Weather Dataset/Cloudy/cloudy10.jpg,Nuageux,271,186
./Multi-class Weather Dataset/Cloudy/cloudy100.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy101.jpg,Nuageux,338,149
./Multi-class Weather Dataset/Cloudy/cloudy102.jpg,Nuageux,800,377
./Multi-class Weather Dataset/Cloudy/cloudy103.jpg,Nuageux,275,183
./Multi-class Weather Dataset/Cloudy/cloudy104.jpg,Nuageux,275,183
./Multi-class Weather Dataset/Cloudy/cloudy105.jpg,Nuageux,288,175
./Multi-class Weather Dataset/Cloudy/cloudy106.jpg,Nuageux,300,168
./Multi-class Weather Dataset/Cloudy/cloudy107.jpg,Nuageux,275,183
./Multi-class Weather Dataset/Cloudy/cloudy108.jpg,Nuageux,900,675
./Multi-class Weather Dataset/Cloudy/cloudy109.jpg,Nuageux,851,377
./Multi-class Weather Dataset/Cloudy/cloudy11.jpg,Nuageux,1024,675
./Multi-class Weather Dataset/Cloudy/cloudy110.jpg,Nuageux,284,177
./Multi-class Weather Dataset/Cloudy/cloudy111.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy112.jpg,Nuageux,590,400
./Multi-class Weather Dataset/Cloudy/cloudy113.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy114.jpg,Nuageux,319,158
./Multi-class Weather Dataset/Cloudy/cloudy115.jpg,Nuageux,326,155
./Multi-class Weather Dataset/Cloudy/cloudy116.jpg,Nuageux,1600,1200
./Multi-class Weather Dataset/Cloudy/cloudy117.jpg,Nuageux,400,269
./Multi-class Weather Dataset/Cloudy/cloudy118.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy119.jpg,Nuageux,490,326
./Multi-class Weather Dataset/Cloudy/cloudy12.jpg,Nuageux,300,168
./Multi-class Weather Dataset/Cloudy/cloudy120.jpg,Nuageux,318,159
./Multi-class Weather Dataset/Cloudy/cloudy121.jpg,Nuageux,211,239
./Multi-class Weather Dataset/Cloudy/cloudy122.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy123.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy124.jpg,Nuageux,299,168
./Multi-class Weather Dataset/Cloudy/cloudy125.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy126.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy127.jpg,Nuageux,640,360
./Multi-class Weather Dataset/Cloudy/cloudy128.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy129.jpg,Nuageux,1024,576
./Multi-class Weather Dataset/Cloudy/cloudy13.jpg,Nuageux,306,165
./Multi-class Weather Dataset/Cloudy/cloudy130.jpg,Nuageux,728,410
./Multi-class Weather Dataset/Cloudy/cloudy131.jpg,Nuageux,600,300
./Multi-class Weather Dataset/Cloudy/cloudy132.jpg,Nuageux,720,400
./Multi-class Weather Dataset/Cloudy/cloudy133.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy134.jpg,Nuageux,800,600
./Multi-class Weather Dataset/Cloudy/cloudy135.jpg,Nuageux,1600,706
./Multi-class Weather Dataset/Cloudy/cloudy136.jpg,Nuageux,595,476
./Multi-class Weather Dataset/Cloudy/cloudy137.jpg,Nuageux,1000,667
./Multi-class Weather Dataset/Cloudy/cloudy138.jpg,Nuageux,275,183
./Multi-class Weather Dataset/Cloudy/cloudy139.jpg,Nuageux,183,275
./Multi-class Weather Dataset/Cloudy/cloudy14.jpg,Nuageux,2000,2000
./Multi-class Weather Dataset/Cloudy/cloudy140.jpg,Nuageux,1000,750
./Multi-class Weather Dataset/Cloudy/cloudy141.jpg,Nuageux,615,409
./Multi-class Weather Dataset/Cloudy/cloudy142.jpg,Nuageux,520,362
./Multi-class Weather Dataset/Cloudy/cloudy143.jpg,Nuageux,284,177
./Multi-class Weather Dataset/Cloudy/cloudy144.jpg,Nuageux,259,194
./Multi-class Weather Dataset/Cloudy/cloudy145.jpg,Nuageux,300,168
./Multi-class Weather Dataset/Cloudy/cloudy146.jpg,Nuageux,800,377
./Multi-class Weather Dataset/Cloudy/cloudy147.jpg,Nuageux,800,533
./Multi-class Weather Dataset/Cloudy/cloudy148.jpg,Nuageux,900,600
./Multi-class Weather Dataset/Cloudy/cloudy149.jpg,Nuageux,759,462
./Multi-class Weather Dataset/Cloudy/cloudy15.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy150.jpg,Nuageux,1920,1080
./Multi-class Weather Dataset/Cloudy/cloudy151.jpg,Nuageux,1920,1280
./Multi-class Weather Dataset/Cloudy/cloudy152.jpg,Nuageux,1920,1080
./Multi-class Weather Dataset/Cloudy/cloudy153.jpg,Nuageux,1280,720
./Multi-class Weather Dataset/Cloudy/cloudy154.jpg,Nuageux,291,169
./Multi-class Weather Dataset/Cloudy/cloudy155.jpg,Nuageux,1920,1080
./Multi-class Weather Dataset/Cloudy/cloudy156.jpg,Nuageux,299,168
./Multi-class Weather Dataset/Cloudy/cloudy157.jpg,Nuageux,282,179
./Multi-class Weather Dataset/Cloudy/cloudy158.jpg,Nuageux,468,351
./Multi-class Weather Dataset/Cloudy/cloudy159.jpg,Nuageux,243,162
./Multi-class Weather Dataset/Cloudy/cloudy16.jpg,Nuageux,299,168
./Multi-class Weather Dataset/Cloudy/cloudy160.jpg,Nuageux,303,160
./Multi-class Weather Dataset/Cloudy/cloudy161.jpg,Nuageux,231,154
./Multi-class Weather Dataset/Cloudy/cloudy162.jpg,Nuageux,281,187
./Multi-class Weather Dataset/Cloudy/cloudy163.jpg,Nuageux,264,178
./Multi-class Weather Dataset/Cloudy/cloudy164.jpg,Nuageux,205,300
./Multi-class Weather Dataset/Cloudy/cloudy165.jpg,Nuageux,242,161
./Multi-class Weather Dataset/Cloudy/cloudy166.jpg,Nuageux,256,169
./Multi-class Weather Dataset/Cloudy/cloudy167.jpg,Nuageux,222,167
./Multi-class Weather Dataset/Cloudy/cloudy168.jpg,Nuageux,226,170
./Multi-class Weather Dataset/Cloudy/cloudy169.jpg,Nuageux,206,155
./Multi-class Weather Dataset/Cloudy/cloudy17.jpg,Nuageux,299,168
./Multi-class Weather Dataset/Cloudy/cloudy170.jpg,Nuageux,245,155
./Multi-class Weather Dataset/Cloudy/cloudy171.jpg,Nuageux,220,165
./Multi-class Weather Dataset/Cloudy/cloudy172.jpg,Nuageux,231,154
./Multi-class Weather Dataset/Cloudy/cloudy173.jpg,Nuageux,229,152
./Multi-class Weather Dataset/Cloudy/cloudy174.jpg,Nuageux,225,178
./Multi-class Weather Dataset/Cloudy/cloudy175.jpg,Nuageux,238,158
./Multi-class Weather Dataset/Cloudy/cloudy176.jpg,Nuageux,207,156
./Multi-class Weather Dataset/Cloudy/cloudy177.jpg,Nuageux,199,151
./Multi-class Weather Dataset/Cloudy/cloudy178.jpg,Nuageux,236,177
./Multi-class Weather Dataset/Cloudy/cloudy179.jpg,Nuageux,285,153
./Multi-class Weather Dataset/Cloudy/cloudy18.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy180.jpg,Nuageux,261,175
./Multi-class Weather Dataset/Cloudy/cloudy181.jpg,Nuageux,342,171
./Multi-class Weather Dataset/Cloudy/cloudy182.jpg,Nuageux,287,192
./Multi-class Weather Dataset/Cloudy/cloudy183.jpg,Nuageux,302,170
./Multi-class Weather Dataset/Cloudy/cloudy184.jpg,Nuageux,256,166
./Multi-class Weather Dataset/Cloudy/cloudy185.jpg,Nuageux,276,173
./Multi-class Weather Dataset/Cloudy/cloudy186.jpg,Nuageux,267,178
./Multi-class Weather Dataset/Cloudy/cloudy187.jpg,Nuageux,208,167
./Multi-class Weather Dataset/Cloudy/cloudy188.jpg,Nuageux,241,161
./Multi-class Weather Dataset/Cloudy/cloudy189.jpg,Nuageux,255,170
./Multi-class Weather Dataset/Cloudy/cloudy19.jpg,Nuageux,800,600
./Multi-class Weather Dataset/Cloudy/cloudy190.jpg,Nuageux,256,153
./Multi-class Weather Dataset/Cloudy/cloudy191.jpg,Nuageux,239,168
./Multi-class Weather Dataset/Cloudy/cloudy192.jpg,Nuageux,211,159
./Multi-class Weather Dataset/Cloudy/cloudy193.jpg,Nuageux,284,160
./Multi-class Weather Dataset/Cloudy/cloudy194.jpg,Nuageux,312,164
./Multi-class Weather Dataset/Cloudy/cloudy195.jpg,Nuageux,231,174
./Multi-class Weather Dataset/Cloudy/cloudy196.jpg,Nuageux,261,174
./Multi-class Weather Dataset/Cloudy/cloudy197.jpg,Nuageux,266,175
./Multi-class Weather Dataset/Cloudy/cloudy198.jpg,Nuageux,226,151
./Multi-class Weather Dataset/Cloudy/cloudy199.jpg,Nuageux,254,170
./Multi-class Weather Dataset/Cloudy/cloudy2.jpg,Nuageux,400,300
./Multi-class Weather Dataset/Cloudy/cloudy20.jpg,Nuageux,299,168
./Multi-class Weather Dataset/Cloudy/cloudy200.jpg,Nuageux,283,177
./Multi-class Weather Dataset/Cloudy/cloudy201.jpg,Nuageux,230,173
./Multi-class Weather Dataset/Cloudy/cloudy202.jpg,Nuageux,290,174
./Multi-class Weather Dataset/Cloudy/cloudy203.jpg,Nuageux,245,153
./Multi-class Weather Dataset/Cloudy/cloudy204.jpg,Nuageux,283,177
./Multi-class Weather Dataset/Cloudy/cloudy205.jpg,Nuageux,300,168
./Multi-class Weather Dataset/Cloudy/cloudy206.jpg,Nuageux,255,192
./Multi-class Weather Dataset/Cloudy/cloudy207.jpg,Nuageux,300,134
./Multi-class Weather Dataset/Cloudy/cloudy208.jpg,Nuageux,269,168
./Multi-class Weather Dataset/Cloudy/cloudy209.jpg,Nuageux,260,174
./Multi-class Weather Dataset/Cloudy/cloudy21.jpg,Nuageux,852,480
./Multi-class Weather Dataset/Cloudy/cloudy210.jpg,Nuageux,275,172
./Multi-class Weather Dataset/Cloudy/cloudy211.jpg,Nuageux,375,166
./Multi-class Weather Dataset/Cloudy/cloudy212.jpg,Nuageux,223,168
./Multi-class Weather Dataset/Cloudy/cloudy213.jpg,Nuageux,205,154
./Multi-class Weather Dataset/Cloudy/cloudy214.jpg,Nuageux,201,151
./Multi-class Weather Dataset/Cloudy/cloudy215.jpg,Nuageux,300,300
./Multi-class Weather Dataset/Cloudy/cloudy216.jpg,Nuageux,203,153
./Multi-class Weather Dataset/Cloudy/cloudy217.jpg,Nuageux,233,175
