Picture Path,Label,width,height,Luminance,RGB,LBP
./Multi-class Weather Dataset/Shine/shine217.jpg,Ensoleillé,270,169,0.22289459395790365,"[65.78350459354296, 123.6077803380873, 157.31765054857001]","[975, 3516, 2790, 15257, 27956, 28952, 7851, 7723, 19316, 4302]"
./Multi-class Weather Dataset/Sunrise/sunrise210.jpg,Lever du soleil,3200,1200,0.192201152825769,"[124.46965440562889, 63.85506010800713, 28.894375971969353]","[7105, 8965, 4416, 10314, 13292, 17099, 8923, 11502, 18222, 18800]"
./Multi-class Weather Dataset/Cloudy/cloudy240.jpg,Nuageux,300,138,0.09387788470525336,"[108.03152604983227, 108.03152604983227, 108.03152604983227]","[255, 1697, 1105, 13024, 31898, 35377, 7565, 6406, 19007, 2304]"
./Multi-class Weather Dataset/Shine/shine25.jpg,Ensoleillé,852,480,0.21003984959077315,"[100.06668411075077, 131.0842690843153, 167.38163948576764]","[2497, 4193, 1729, 11196, 11722, 36659, 11868, 6442, 25829, 6503]"
./Multi-class Weather Dataset/Cloudy/cloudy300.jpg,Nuageux,300,149,0.243915221522483,"[147.60495053097446, 163.75665245852932, 187.35024764145973]","[437, 2155, 1398, 12525, 25460, 31878, 7130, 6496, 27992, 3167]"
./Multi-class Weather Dataset/Sunrise/sunrise69.jpg,Lever du soleil,276,182,0.1367555760606956,"[184.23741977960265, 95.33092741285465, 31.529367105712335]","[240, 2922, 496, 8407, 22651, 48345, 5508, 6370, 18372, 5327]"
./Multi-class Weather Dataset/Sunrise/sunrise253.jpg,Lever du soleil,226,170,0.29275483738591507,"[170.62093070148265, 123.8941625140659, 87.13474814140494]","[185, 1745, 315, 10038, 17503, 41394, 5459, 8224, 30817, 2958]"
./Multi-class Weather Dataset/Sunrise/sunrise165.jpg,Lever du soleil,280,180,0.1934206151046878,"[109.83113662333106, 79.42833829985966, 103.05612326204505]","[1024, 3927, 2625, 13158, 31044, 34849, 8749, 6886, 11458, 4918]"
./Multi-class Weather Dataset/Sunrise/sunrise290.jpg,Lever du soleil,286,161,0.11386427433995913,"[161.12663693862842, 97.47332184486632, 85.89804489286738]","[251, 2099, 264, 9603, 9937, 37230, 4666, 8331, 42285, 3972]"
./Multi-class Weather Dataset/Rain/rain143.jpg,Pluvieux,604,272,0.10016122750653234,"[136.74195774382997, 143.66831325255188, 130.29365426496992]","[4106, 8671, 7630, 16313, 23454, 17952, 10803, 9862, 8352, 11495]"
./Multi-class Weather Dataset/Shine/shine75.jpg,Ensoleillé,620,464,0.1939119789971016,"[77.40465711608, 106.49501042562248, 154.2542496001492]","[2390, 4615, 2719, 12139, 9181, 28150, 6732, 10700, 34163, 7849]"
./Multi-class Weather Dataset/Shine/shine33.jpg,Ensoleillé,225,225,0.13531978809475678,"[136.0573821467405, 180.2694071197677, 246.04768451349904]","[384, 4789, 1089, 9576, 21859, 33813, 5130, 9718, 27415, 4865]"
./Multi-class Weather Dataset/Sunrise/sunrise154.jpg,Lever du soleil,1024,768,0.2336360492035928,"[145.85046528093866, 118.44049888104992, 86.47834243533902]","[6012, 9140, 5005, 11371, 17952, 17426, 9731, 11005, 14386, 16610]"
./Multi-class Weather Dataset/Cloudy/cloudy84.jpg,Nuageux,852,480,0.1109802203943394,"[112.08139650659992, 132.8435559024617, 157.50889358542372]","[137, 934, 495, 10064, 15305, 50614, 9315, 4020, 26193, 1561]"
./Multi-class Weather Dataset/Sunrise/sunrise26.jpg,Lever du soleil,259,194,0.18442067507983284,"[144.61372317996762, 130.93569138629698, 103.72122763285162]","[478, 4573, 1657, 10438, 29694, 36828, 7186, 7603, 14669, 5512]"
./Multi-class Weather Dataset/Sunrise/sunrise11.jpg,Lever du soleil,259,194,0.12903856840620215,"[174.8987152619734, 92.38164198812775, 54.71789511476087]","[918, 4981, 2768, 12743, 31610, 28098, 7321, 6996, 17080, 6123]"
./Multi-class Weather Dataset/Sunrise/sunrise35.jpg,Lever du soleil,640,428,0.13640825276054744,"[66.89288660673645, 108.30924008327854, 160.15618974580235]","[5027, 9605, 4446, 11227, 12309, 15598, 10629, 12116, 19452, 18229]"
